Days	ELS	KPX	ZRE	ZTSERG	BRS	ORZEL	ENERGOPLD	STALPROFIL	KROSNO	LZPS	GRAJEWO	BIOTON	GTC	ESPEBEPE	INVESTCON	TVN	MEDIATEL	MASTERS	CERSANIT	HBPOLSKA
20	50601,74	43363,32	27497,03	42416,36	25917,79	61527,41	53487,96	30736,04	30448,31	45008,8	31728,5	43630,03	44301,11	14553,84	47290,8	53792,04	49344,9	43772,07	34716,76	48505,48
21	51680,97	43488,03	28056,29	42405,83	26067,84	59953,16	53792,04	31008,13	30665,36	44966,63	32024,41	44063,27	44071,87	14691,85	47380,95	53717,9	50425,36	44222,21	34821,8	47522
22	52370,79	44770,05	28397,06	42017,93	25917,13	59276,14	53717,9	30890,68	31189,89	45464,58	32801,74	44392,66	43768,52	14965,94	48012,4	54558,15	50230,32	44387,9	34942,1	46556,85
23	52019,87	45033,33	28455,94	41628,12	25682,69	58222,82	54558,15	30562,59	30813,37	46138,35	33178,91	45750,76	44289,74	15196,18	47936,7	55431,48	50601,74	43995,91	35343,41	45807,69
24	52338,99	44716,62	29600,54	42118,25	25653,67	57244,48	55431,48	30548,51	30880,87	46340,32	33317,63	45781,7	44795,81	15182,81	48011,28	55314,03	51680,97	44360,14	35537,63	46772,32
25	52166,51	44301,11	29070,63	41437,13	25725,89	57978,35	55314,03	30698,11	30907,2	46950,76	33084,75	45894,89	44429,85	14905,93	48584,81	55358,58	52370,79	44052,54	35502,94	46335,81
26	52024,79	44071,87	27976,81	40924,25	25664,91	57383,98	55358,58	30707,94	31314,81	47280,43	32989,06	45121,18	44352,51	15416,07	48548,05	55236,06	52019,87	44209,1	35730,36	45792,47
27	51747,14	43768,52	28427,3	40651,79	25839,42	55600,24	55236,06	30697,39	31320,17	47393,92	33026,89	44735,66	44870,85	15605,69	48137,51	55099,87	52338,99	44007,66	36068,56	46397,34
28	51927,09	44289,74	28819,98	40949,96	26152,39	55517,65	55099,87	30614,97	31055,32	46812,97	33012,91	43507,4	44659,39	15644,86	48615,51	53519	52166,51	44267,46	35854,93	47345,99
29	52037,95	44795,81	27590,59	41457,96	26206,21	55558	53519	30917,73	30968,19	47651	33131,51	44003,29	44176,62	15470,36	48900,99	53826,85	52024,79	45008,8	35983,24	47624,22
30	51961,96	44429,85	26702,48	41049,76	26476,65	55668,29	53826,85	31090,63	30736,04	47823,87	33079,31	43648,7	44057,54	15394,25	48249,15	52939,24	51747,14	44966,63	35600,79	46423,82
31	52242,23	44352,51	27110,59	40903,46	26363,24	54670,59	52939,24	31362,39	31008,13	47562,92	33001,54	43609,44	43772,07	15427,11	48557,79	53920,38	51927,09	45464,58	36046,58	46239,44
